course,category,institution,type,skills,personality,inclination
Civil Engineering,Engineering & Technology,Post secondary,University Degree,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Electrical Engineering,Engineering & Technology,Post secondary,University Degree,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Environmental Engineering,Engineering & Technology,Post secondary,University Degree,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Investigative
Industrial & Systems Engineering,Engineering & Technology,Post secondary,University Degree,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Materials Science & Engineering,STEM - Science & Mathematics,Post secondary,University Degree,"Analytical Thinking, Engineering Design, Mathematical Skills, Observation, Problem Solving, Research, Scientific Method, Technical Drawing",Conscientiousness,Investigative
Mechanical Engineering,Engineering & Technology,Post secondary,University Degree,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
English Language,Languages & Literature,Post secondary,University Degree,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Chinese Studies,Languages & Literature,Post secondary,University Degree,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Japanese Studies,Languages & Literature,Post secondary,University Degree,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Malay Studies,Languages & Literature,Post secondary,University Degree,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
South Asian Studies,Humanities & Social Sciences,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Southeast Asian Studies,Humanities & Social Sciences,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
History,Humanities & Social Sciences,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Philosophy,Humanities & Social Sciences,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Openness,Social
Theatre Studies,Performing Arts & Music,Post secondary,University Degree,"Acting, Creativity, Performance, Public Speaking",Openness,Artistic
Law,Humanities & Social Sciences,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Conscientiousness,Social
Medicine,Healthcare & Medical Sciences,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Nursing,Healthcare & Medical Sciences,Post secondary,University Degree,"Communication, Empathy, Medical Knowledge, Patient Care",Agreeableness,Social
Pharmacy,Healthcare & Medical Sciences,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Music,Performing Arts & Music,Post secondary,University Degree,"Coordination, Discipline, Musical Skills, Performance",Openness,Artistic
Data Science & Analytics,STEM - Science & Mathematics,Post secondary,University Degree,"Critical Thinking, Data Analysis, Data Visualization, Statistical Analysis",Conscientiousness,Investigative
Environmental Studies,Sustainability & Environment,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Openness,Investigative
Food Science & Technology,STEM - Science & Mathematics,Post secondary,University Degree,"Analytical Thinking, Attention to Detail, Creativity, Culinary Skills, Observation, Research, Scientific Method, Time Management",Conscientiousness,Investigative
Quantitative Finance,"Business, Finance & Management",Post secondary,University Degree,"Accounting, Attention to Detail, Financial Analysis, Numerical Skills",Conscientiousness,Enterprising
Real Estate,"Business, Finance & Management",Post secondary,University Degree,"Business Acumen, Communication, Strategic Thinking",Extraversion,Enterprising
Social Work,Humanities & Social Sciences,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Extraversion,Social
Psychology,Humanities & Social Sciences,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Sociology,Humanities & Social Sciences,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Accountancy,"Business, Finance & Management",Post secondary,University Degree,"Accounting, Attention to Detail, Financial Analysis, Numerical Skills",Extraversion,Enterprising
Business,"Business, Finance & Management",Post secondary,University Degree,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Aerospace Engineering,Engineering & Technology,Post secondary,University Degree,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Bioengineering,Engineering & Technology,Post secondary,University Degree,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Chemical & Biomolecular Engineering,Engineering & Technology,Post secondary,University Degree,"Analytical Skills, Chemistry, Engineering Design, Laboratory Skills, Mathematical Skills, Problem Solving, Scientific Method, Technical Drawing",Conscientiousness,Realistic
Civil Engineering,Engineering & Technology,Post secondary,University Degree,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Computer Engineering,Engineering & Technology,Post secondary,University Degree,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Computer Science,STEM - Science & Mathematics,Post secondary,University Degree,"Algorithm Design, Analytical Thinking, Logical Thinking, Observation, Problem Solving, Programming, Research, Scientific Method",Conscientiousness,Investigative
Data Science & Artificial Intelligence,STEM - Science & Mathematics,Post secondary,University Degree,"AI/ML, Artistic Expression, Creativity, Critical Thinking, Data Analysis, Data Visualization, Mathematical Modeling, Observation, Research, Statistical Analysis, Visual Arts",Openness,Artistic
Electrical & Electronic Engineering,Engineering & Technology,Post secondary,University Degree,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Environmental Engineering,Engineering & Technology,Post secondary,University Degree,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Investigative
Information Engineering & Media,Engineering & Technology,Post secondary,University Degree,"Communication, Engineering Design, Mathematical Skills, Media Production, Problem Solving, Research, Technical Drawing, Writing",Conscientiousness,Artistic
Materials Engineering,Engineering & Technology,Post secondary,University Degree,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Mechanical Engineering,Engineering & Technology,Post secondary,University Degree,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Maritime Studies,Maritime Studies,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Openness,Realistic
"Art, Design & Media","Arts, Design & Visual Arts",Post secondary,University Degree,"Artistic Expression, Attention to Detail, CAD Design, Communication, Creativity, Design Thinking, Media Production, Observation, Research, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Arts, Visual Communication, Writing",Openness,Artistic
Communication Studies,Media & Communication,Post secondary,University Degree,"Communication, Media Production, Research, Writing",Openness,Artistic
Economics,"Business, Finance & Management",Post secondary,University Degree,"Critical Thinking, Data Interpretation, Economic Analysis, Research",Extraversion,Enterprising
English,Languages & Literature,Post secondary,University Degree,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
History,Humanities & Social Sciences,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Linguistics & Multilingual Studies,Languages & Literature,Post secondary,University Degree,"Communication, Cultural Awareness, Language Skills",Openness,Artistic
Philosophy,Humanities & Social Sciences,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Openness,Social
Psychology,Humanities & Social Sciences,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Public Policy & Global Affairs,Humanities & Social Sciences,Post secondary,University Degree,"AI/ML, Data Analysis, Mathematical Modeling, Research",Agreeableness,Social
Sociology,Humanities & Social Sciences,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Chinese,Languages & Literature,Post secondary,University Degree,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Biological Sciences,STEM - Science & Mathematics,Post secondary,University Degree,"Analytical Thinking, Observation, Research, Scientific Method",Conscientiousness,Investigative
Chemistry & Biological Chemistry,STEM - Science & Mathematics,Post secondary,University Degree,"Analytical Skills, Chemistry, Laboratory Skills, Scientific Method",Conscientiousness,Investigative
Mathematical Sciences,STEM - Science & Mathematics,Post secondary,University Degree,"Analytical Thinking, Mathematical Reasoning, Observation, Problem Solving, Quantitative Analysis, Research, Scientific Method",Conscientiousness,Investigative
Physics & Applied Physics,STEM - Science & Mathematics,Post secondary,University Degree,"Algorithm Design, Logical Thinking, Mathematical Analysis, Physics, Problem Solving, Programming, Scientific Method",Conscientiousness,Investigative
Education,Education,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Sports Science & Management,STEM - Science & Mathematics,Post secondary,University Degree,"Analytical Thinking, Business Management, Coordination, Decision Making, Discipline, Leadership, Observation, Physical Fitness, Research, Scientific Method, Strategic Planning, Teamwork",Conscientiousness,Investigative
Medicine,Healthcare & Medical Sciences,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Accountancy,"Business, Finance & Management",Post secondary,University Degree,"Accounting, Attention to Detail, Financial Analysis, Numerical Skills",Extraversion,Enterprising
Business Management,"Business, Finance & Management",Post secondary,University Degree,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Enterprising
Economics,"Business, Finance & Management",Post secondary,University Degree,"Critical Thinking, Data Interpretation, Economic Analysis, Research",Extraversion,Enterprising
Finance,"Business, Finance & Management",Post secondary,University Degree,"Accounting, Attention to Detail, Financial Analysis, Numerical Skills",Conscientiousness,Enterprising
Information Systems Management,Computing & IT,Post secondary,University Degree,"Business Management, Decision Making, Leadership, Strategic Planning",Conscientiousness,Enterprising
Computer Science,STEM - Science & Mathematics,Post secondary,University Degree,"Algorithm Design, Analytical Thinking, Logical Thinking, Observation, Problem Solving, Programming, Research, Scientific Method",Conscientiousness,Investigative
Computing & Law,Computing & IT,Post secondary,University Degree,"Algorithm Design, Logical Thinking, Problem Solving, Programming",Conscientiousness,Enterprising
Social Sciences (Political Science),STEM - Science & Mathematics,Post secondary,University Degree,"Analytical Thinking, Observation, Research, Scientific Method",Conscientiousness,Investigative
Social Sciences (Psychology),STEM - Science & Mathematics,Post secondary,University Degree,"Analytical Thinking, Observation, Research, Scientific Method",Conscientiousness,Social
Social Sciences (Sociology),STEM - Science & Mathematics,Post secondary,University Degree,"Analytical Thinking, Observation, Research, Scientific Method",Conscientiousness,Investigative
Law,Humanities & Social Sciences,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Conscientiousness,Social
Communications,Media & Communication,Post secondary,University Degree,"Communication, Media Production, Research, Writing",Openness,Artistic
Corporate Communication,Media & Communication,Post secondary,University Degree,"Communication, Media Production, Research, Writing",Openness,Artistic
Sustainable & Green Finance,"Business, Finance & Management",Post secondary,University Degree,"AI/ML, Accounting, Attention to Detail, Data Analysis, Financial Analysis, Mathematical Modeling, Numerical Skills, Research",Conscientiousness,Enterprising
Architecture & Sustainable Design,"Arts, Design & Visual Arts",Post secondary,University Degree,"AI/ML, Attention to Detail, CAD Design, Creativity, Data Analysis, Design Thinking, Mathematical Modeling, Research, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
Engineering Product Development,Engineering & Technology,Post secondary,University Degree,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Engineering Systems & Design,Engineering & Technology,Post secondary,University Degree,"Attention to Detail, CAD Design, Creativity, Design Thinking, Engineering Design, Mathematical Skills, Problem Solving, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
Information Systems Technology & Design,Computing & IT,Post secondary,University Degree,"Attention to Detail, CAD Design, Creativity, Design Thinking, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
Computer Science & Design,STEM - Science & Mathematics,Post secondary,University Degree,"Algorithm Design, Analytical Thinking, Attention to Detail, CAD Design, Creativity, Design Thinking, Logical Thinking, Observation, Problem Solving, Programming, Research, Scientific Method, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
Design & Artificial Intelligence,Computing & IT,Post secondary,University Degree,"AI/ML, Artistic Expression, Attention to Detail, CAD Design, Creativity, Data Analysis, Design Thinking, Mathematical Modeling, Observation, Research, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Arts, Visual Communication",Openness,Artistic
Accountancy,"Business, Finance & Management",Post secondary,University Degree,"Accounting, Attention to Detail, Financial Analysis, Numerical Skills",Extraversion,Enterprising
Aerospace Engineering,Engineering & Technology,Post secondary,University Degree,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Chemical Engineering,Engineering & Technology,Post secondary,University Degree,"Analytical Skills, Chemistry, Engineering Design, Laboratory Skills, Mathematical Skills, Problem Solving, Scientific Method, Technical Drawing",Conscientiousness,Realistic
Civil Engineering,Engineering & Technology,Post secondary,University Degree,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Computer Science,STEM - Science & Mathematics,Post secondary,University Degree,"Algorithm Design, Analytical Thinking, Logical Thinking, Observation, Problem Solving, Programming, Research, Scientific Method",Conscientiousness,Investigative
Electrical & Electronic Engineering,Engineering & Technology,Post secondary,University Degree,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Food Technology,"Food, Nutrition & Culinary Arts",Post secondary,University Degree,"Attention to Detail, Creativity, Culinary Skills, Time Management",Openness,Artistic
Infocomm Security,Computing & IT,Post secondary,University Degree,"Cybersecurity, Problem Solving, Risk Assessment, Technical Analysis",Conscientiousness,Investigative
Maritime Studies,Maritime Studies,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Openness,Realistic
Mechanical Engineering,Engineering & Technology,Post secondary,University Degree,"Engineering Design, Mathematical Skills, Problem Solving, Technical Drawing",Conscientiousness,Realistic
Nursing,Healthcare & Medical Sciences,Post secondary,University Degree,"Communication, Empathy, Medical Knowledge, Patient Care",Agreeableness,Social
Occupational Therapy,Healthcare & Medical Sciences,Post secondary,University Degree,"Assessment, Communication, Patient Care, Therapeutic Skills",Agreeableness,Social
Physiotherapy,Healthcare & Medical Sciences,Post secondary,University Degree,"Assessment, Communication, Patient Care, Therapeutic Skills",Agreeableness,Social
Radiography,Healthcare & Medical Sciences,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Accountancy,"Business, Finance & Management",Post secondary,University Degree,"Accounting, Attention to Detail, Financial Analysis, Numerical Skills",Extraversion,Enterprising
Business Analytics,Computing & IT,Post secondary,University Degree,"Business Management, Critical Thinking, Data Analysis, Data Visualization, Decision Making, Leadership, Statistical Analysis, Strategic Planning",Conscientiousness,Investigative
Finance,"Business, Finance & Management",Post secondary,University Degree,"Accounting, Attention to Detail, Financial Analysis, Numerical Skills",Conscientiousness,Enterprising
Human Resource Management,"Business, Finance & Management",Post secondary,University Degree,"Business Management, Decision Making, Leadership, Strategic Planning",Extraversion,Social
Marketing,"Business, Finance & Management",Post secondary,University Degree,"Communication, Creative Thinking, Digital Marketing, Marketing",Extraversion,Enterprising
Supply Chain Management,"Business, Finance & Management",Post secondary,University Degree,"AI/ML, Business Management, Data Analysis, Decision Making, Leadership, Mathematical Modeling, Research, Strategic Planning",Extraversion,Enterprising
Early Childhood Education,Education,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Social Work,Humanities & Social Sciences,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Extraversion,Social
Counselling,Humanities & Social Sciences,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Psychology,Humanities & Social Sciences,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Agreeableness,Social
Criminology & Security,Humanities & Social Sciences,Post secondary,University Degree,"Cybersecurity, Problem Solving, Risk Assessment, Technical Analysis",Agreeableness,Social
Law,Humanities & Social Sciences,Post secondary,University Degree,"Adaptability, Critical Thinking, Learning",Conscientiousness,Social
Mass Communication,Media & Communication,Post secondary,University Degree,"Communication, Media Production, Research, Writing",Openness,Artistic
Fine Arts,"Arts, Design & Visual Arts",Post secondary,Arts Degree,"Artistic Expression, Creativity, Observation, Visual Arts",Openness,Artistic
Design Communication,"Arts, Design & Visual Arts",Post secondary,Arts Degree,"Attention to Detail, CAD Design, Communication, Creativity, Design Thinking, Media Production, Research, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication, Writing",Openness,Artistic
Interior Design,"Arts, Design & Visual Arts",Post secondary,Arts Degree,"Client Management, Creativity, Design, Design Thinking, Software Proficiency, Spatial Reasoning, Visual Communication",Openness,Artistic
Product Design,"Arts, Design & Visual Arts",Post secondary,Arts Degree,"Client Management, Creativity, Design, Design Thinking, Software Proficiency, Spatial Reasoning, Visual Communication",Openness,Artistic
Fashion Design & Textiles,"Arts, Design & Visual Arts",Post secondary,Arts Degree,"Creativity, Design Thinking, Fashion Design, Software Proficiency, Technical Skills, Trend Analysis, Visual Communication",Openness,Artistic
Animation Art,"Arts, Design & Visual Arts",Post secondary,Arts Degree,"Animation, Artistic Expression, Creativity, Observation, Storytelling, Technical Skills, Video Editing, Visual Arts",Openness,Artistic
Film,Media & Communication,Post secondary,Arts Degree,"Animation, Storytelling, Technical Skills, Video Editing",Openness,Artistic
Acting,Performing Arts & Music,Post secondary,Arts Degree,"Acting, Creativity, Performance, Public Speaking",Openness,Artistic
Music,Performing Arts & Music,Post secondary,Arts Degree,"Coordination, Discipline, Musical Skills, Performance",Openness,Artistic
Dance,Performing Arts & Music,Post secondary,Arts Degree,"Artistic Expression, Dance, Performance, Physical Coordination",Openness,Artistic
Musical Theatre,Performing Arts & Music,Post secondary,Arts Degree,"Acting, Coordination, Creativity, Discipline, Musical Skills, Performance, Public Speaking",Openness,Artistic
Arts Management,"Business, Finance & Management",Post secondary,Arts Degree,"Artistic Expression, Business Management, Creativity, Decision Making, Leadership, Observation, Strategic Planning, Visual Arts",Openness,Artistic
Fashion Media & Industries,"Arts, Design & Visual Arts",Post secondary,Arts Degree,"Communication, Creativity, Fashion Design, Media Production, Research, Technical Skills, Trend Analysis, Writing",Openness,Artistic
3D Design,"Arts, Design & Visual Arts",Post secondary,Arts Degree,"Attention to Detail, CAD Design, Creativity, Design Thinking, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
Design & Media,"Arts, Design & Visual Arts",Post secondary,Arts Degree,"Attention to Detail, CAD Design, Communication, Creativity, Design Thinking, Media Production, Research, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication, Writing",Openness,Artistic
Fashion Studies,"Arts, Design & Visual Arts",Post secondary,Arts Degree,"Creativity, Fashion Design, Technical Skills, Trend Analysis",Openness,Artistic
Fine Art,"Arts, Design & Visual Arts",Post secondary,Arts Degree,"Artistic Expression, Creativity, Observation, Visual Arts",Openness,Artistic
Interior Design,"Arts, Design & Visual Arts",Post secondary,Arts Degree,"Client Management, Creativity, Design, Design Thinking, Software Proficiency, Spatial Reasoning, Visual Communication",Openness,Artistic
Visual Communication,"Arts, Design & Visual Arts",Post secondary,Arts Degree,"Communication, Creativity, Design Thinking, Media Production, Research, Software Proficiency, Visual Communication, Writing",Openness,Artistic
Dance,Performing Arts & Music,Post secondary,Arts Degree,"Artistic Expression, Dance, Performance, Physical Coordination",Openness,Artistic
Drama,Performing Arts & Music,Post secondary,Arts Degree,"Acting, Creativity, Performance, Public Speaking",Openness,Artistic
Music,Performing Arts & Music,Post secondary,Arts Degree,"Coordination, Discipline, Musical Skills, Performance",Openness,Artistic
Visual Arts,"Arts, Design & Visual Arts",Post secondary,Arts Degree,"Artistic Expression, Creativity, Observation, Visual Arts",Openness,Artistic
Design,"Arts, Design & Visual Arts",Post secondary,Arts Degree,"Attention to Detail, CAD Design, Creativity, Design Thinking, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
Media Arts,"Arts, Design & Visual Arts",Post secondary,Arts Degree,"Artistic Expression, Communication, Creativity, Media Production, Observation, Research, Visual Arts, Writing",Openness,Artistic
Music,Performing Arts & Music,Post secondary,Arts Degree,"Coordination, Discipline, Musical Skills, Performance",Openness,Artistic
Theatre & Performance,Performing Arts & Music,Post secondary,Arts Degree,"Acting, Creativity, Performance, Public Speaking",Openness,Artistic
Arts Management,"Business, Finance & Management",Post secondary,Arts Degree,"Artistic Expression, Business Management, Creativity, Decision Making, Leadership, Observation, Strategic Planning, Visual Arts",Openness,Artistic
Visual Arts (IB with Arts Specialism),"Arts, Design & Visual Arts",Post secondary,IB with Arts Specialism,"Artistic Expression, Creativity, Observation, Visual Arts",Openness,Artistic
Dance (IB with Arts Specialism),"Arts, Design & Visual Arts",Post secondary,IB with Arts Specialism,"Artistic Expression, Creativity, Dance, Observation, Performance, Physical Coordination, Visual Arts",Openness,Artistic
Music (IB with Arts Specialism),"Arts, Design & Visual Arts",Post secondary,IB with Arts Specialism,"Artistic Expression, Coordination, Creativity, Discipline, Musical Skills, Observation, Performance, Visual Arts",Openness,Artistic
Theatre (IB with Arts Specialism),"Arts, Design & Visual Arts",Post secondary,IB with Arts Specialism,"Acting, Artistic Expression, Creativity, Observation, Performance, Public Speaking, Visual Arts",Openness,Artistic
Film (IB with Arts Specialism),"Arts, Design & Visual Arts",Post secondary,IB with Arts Specialism,"Animation, Artistic Expression, Creativity, Observation, Storytelling, Technical Skills, Video Editing, Visual Arts",Openness,Artistic
Literary Arts (IB with Arts Specialism),"Arts, Design & Visual Arts",Post secondary,IB with Arts Specialism,"Artistic Expression, Communication, Creativity, Critical Thinking, Literary Analysis, Observation, Visual Arts, Writing",Openness,Artistic
Singapore Science & Engineering Fair (SSEF),Competitions & Events,Post secondary,Competition,"AI/ML, Analytical Thinking, Competition Skills, Data Analysis, Engineering Design, Excellence, Mathematical Modeling, Mathematical Skills, Observation, Performance Under Pressure, Problem Solving, Research, Scientific Method, Technical Drawing",Conscientiousness,Investigative
Singapore Mathematical Olympiad (SMO),Competitions & Events,Post secondary,Competition,"Analytical Thinking, Competition Skills, Excellence, Mathematical Reasoning, Performance Under Pressure, Problem Solving, Quantitative Analysis",Openness,Investigative
National Science Challenge,Competitions & Events,Post secondary,Competition,"Analytical Thinking, Competition Skills, Excellence, Observation, Performance Under Pressure, Research, Scientific Method",Openness,Investigative
National Math Competition,Competitions & Events,Post secondary,Competition,"Analytical Thinking, Competition Skills, Excellence, Mathematical Reasoning, Performance Under Pressure, Problem Solving, Quantitative Analysis",Openness,Investigative
Singapore Chemistry Olympiad,Competitions & Events,Post secondary,Competition,"Analytical Skills, Chemistry, Competition Skills, Excellence, Laboratory Skills, Performance Under Pressure, Scientific Method",Conscientiousness,Investigative
Singapore Physics Olympiad,Competitions & Events,Post secondary,Competition,"Competition Skills, Excellence, Mathematical Analysis, Performance Under Pressure, Physics, Problem Solving, Scientific Method",Conscientiousness,Investigative
Singapore Biology Olympiad,Competitions & Events,Post secondary,Competition,"Biology, Competition Skills, Excellence, Laboratory Skills, Performance Under Pressure, Research, Scientific Method",Openness,Investigative
Singapore Junior Physics Olympiad,Competitions & Events,Post secondary,Competition,"Competition Skills, Excellence, Mathematical Analysis, Performance Under Pressure, Physics, Problem Solving, Scientific Method",Conscientiousness,Investigative
Singapore Junior Chemistry Olympiad,Competitions & Events,Post secondary,Competition,"Analytical Skills, Chemistry, Competition Skills, Excellence, Laboratory Skills, Performance Under Pressure, Scientific Method",Conscientiousness,Investigative
Elementz Science Project Competition,Competitions & Events,Post secondary,Competition,"Analytical Thinking, Competition Skills, Excellence, Observation, Performance Under Pressure, Research, Scientific Method",Openness,Investigative
Current Affairs Quiz,Competitions & Events,Post secondary,Competition,"AI/ML, Competition Skills, Data Analysis, Excellence, Mathematical Modeling, Performance Under Pressure, Research",Openness,Investigative
Model United Nations Conferences,Competitions & Events,Post secondary,Competition,"Competition Skills, Excellence, Performance Under Pressure",Openness,Investigative
Plain English Speaking Award (PESA),Competitions & Events,Post secondary,Competition,"AI/ML, Communication, Competition Skills, Cultural Awareness, Data Analysis, Excellence, Language Proficiency, Mathematical Modeling, Performance Under Pressure, Research, Writing",Openness,Investigative
UNSW International Competitions & Assessments for Schools,Competitions & Events,Post secondary,Competition,"Competition Skills, Excellence, Performance Under Pressure",Openness,Investigative
National Public Speaking Competition,Competitions & Events,Post secondary,Competition,"Communication, Competition Skills, Confidence, Excellence, Interpersonal Skills, Leadership, Performance Under Pressure",Extraversion,Investigative
Create Your Own Newspaper Competition,Competitions & Events,Post secondary,Competition,"Competition Skills, Excellence, Performance Under Pressure",Openness,Investigative
Singapore Youth Festival (SYF) Arts Presentation,Competitions & Events,Post secondary,Competition,"Artistic Expression, Competition Skills, Creativity, Excellence, Observation, Performance Under Pressure, Visual Arts",Openness,Artistic
Singapore Youth Festival (SYF) Art Exhibition,Competitions & Events,Post secondary,Competition,"Artistic Expression, Competition Skills, Creativity, Excellence, Observation, Performance Under Pressure, Visual Arts",Openness,Artistic
UOB Painting of the Year (Junior),Competitions & Events,Post secondary,Competition,"AI/ML, Artistic Expression, Competition Skills, Creativity, Data Analysis, Excellence, Mathematical Modeling, Observation, Performance Under Pressure, Research, Visual Arts",Openness,Investigative
24-Hour Playwriting Competition,Competitions & Events,Post secondary,Competition,"Competition Skills, Excellence, Performance Under Pressure",Openness,Artistic
Singapore Art Competition,Competitions & Events,Post secondary,Competition,"Artistic Expression, Competition Skills, Creativity, Excellence, Observation, Performance Under Pressure, Visual Arts",Openness,Artistic
Live On Design Competition,Competitions & Events,Post secondary,Competition,"Attention to Detail, CAD Design, Competition Skills, Creativity, Design Thinking, Excellence, Performance Under Pressure, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
National School Games - Track & Field,Competitions & Events,Post secondary,Competition,"Competition Skills, Excellence, Performance Under Pressure",Openness,Investigative
National School Games - Swimming,Competitions & Events,Post secondary,Competition,"Competition Skills, Coordination, Discipline, Excellence, Performance Under Pressure, Physical Fitness, Teamwork",Openness,Investigative
National School Games - Basketball,Competitions & Events,Post secondary,Competition,"Competition Skills, Coordination, Discipline, Excellence, Performance Under Pressure, Physical Fitness, Teamwork",Extraversion,Investigative
National School Games - Football,Competitions & Events,Post secondary,Competition,"Competition Skills, Coordination, Discipline, Excellence, Performance Under Pressure, Physical Fitness, Teamwork",Extraversion,Investigative
National School Games - Badminton,Competitions & Events,Post secondary,Competition,"Competition Skills, Coordination, Discipline, Excellence, Performance Under Pressure, Physical Fitness, Teamwork",Openness,Investigative
National School Games - Table Tennis,Competitions & Events,Post secondary,Competition,"Competition Skills, Coordination, Discipline, Excellence, Performance Under Pressure, Physical Fitness, Teamwork",Openness,Investigative
National School Games - Various Sports,Competitions & Events,Post secondary,Competition,"Competition Skills, Coordination, Discipline, Excellence, Performance Under Pressure, Physical Fitness, Teamwork",Openness,Realistic
National Robotics Competition (NRC),Competitions & Events,Post secondary,Competition,"Automation, Competition Skills, Engineering, Excellence, Performance Under Pressure, Problem Solving, Programming, Robotics, Systems Integration",Openness,Realistic
First Lego League (FLL),Competitions & Events,Post secondary,Competition,"Competition Skills, Excellence, Performance Under Pressure",Openness,Investigative
IDE Series Robotics Competition,Competitions & Events,Post secondary,Competition,"Automation, Competition Skills, Engineering, Excellence, Performance Under Pressure, Problem Solving, Programming, Robotics, Systems Integration",Openness,Realistic
Splash Awards (App Design),Competitions & Events,Post secondary,Competition,"Algorithm Design, Attention to Detail, CAD Design, Competition Skills, Creativity, Design Thinking, Excellence, Logical Thinking, Performance Under Pressure, Problem Solving, Programming, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
National Software Competition,Competitions & Events,Post secondary,Competition,"Algorithm Design, Competition Skills, Excellence, Logical Thinking, Performance Under Pressure, Problem Solving, Programming",Openness,Investigative
Hackathons (GovTech Stack the Flags),Competitions & Events,Post secondary,Competition,"Competition Skills, Excellence, Performance Under Pressure",Openness,Investigative
